Item,Qty,Reference(s),Value,LibPart,Footprint,Manufacturer,Manufacturer_Part_Number,Digikey Part Number,Link
1,2,"C1, C2",15pF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,Yageo,CC0805GRNPO9BN150,13-CC0805GRNPO9BN150CT-ND,https://www.digikey.com/en/products/detail/yageo/CC0805GRNPO9BN150/5883979
2,1,C10,1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,Samsung,CL21B105KAFNNNE,1276-1066-1-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KAFNNNE/3886724
3,6,"C20, C21, C22, C23, C24, C25",0.1uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,Samsung,CL21B104KACNNNC,1276-1099-1-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B104KACNNNC/3886757
4,2,"C26, C30",10uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,Samsung,CL21A106KOQNNNE,1276-1096-1-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KOQNNNE/3886754
5,1,C31,22uF,Device:C_Small,Capacitor_SMD:C_0805_2012Metric,Samsung,CL21A226KOQNNNG,1276-7092-1-ND,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A226KOQNNNG/3894433
6,1,D1,LED_Small,Device:LED_Small,Diode_SMD:D_0805_2012Metric,Broadcom,HSMZ-C170,516-2279-1-ND,https://www.digikey.com/en/products/detail/broadcom-limited/HSMZ-C170/1235349
7,1,D10,LED_Small,Device:LED_Small,Diode_SMD:D_0805_2012Metric,Broadcom,HSMQ-C170,516-3071-1-ND,https://www.digikey.com/en/products/detail/broadcom-limited/HSMQ-C170/1235197
8,1,D11,LED_Small,Device:LED_Small,Diode_SMD:D_0805_2012Metric,Broadcom,HSMR-C150,516-1436-1-ND,https://www.digikey.com/en/products/detail/broadcom-limited/HSMR-C150/637697
9,8,"J1, J2, J3, J4, J5, J6, J7, J8",VL6180X,CustomSymbols:VL6180X,CustomFootprints:VL6180X,Adafruit,3316,1528-1815-ND,https://www.digikey.com/en/products/detail/adafruit-industries-llc/3316/6569763
10,3,"J10, J11, J12",Screw_Terminal_01x02,Connector:Screw_Terminal_01x02,CustomFootprints:POWER_TERM,On Shore,OSTVN02A150,ED10561-ND,https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTVN02A150/1588862
11,1,J20,USB_B_Micro,Connector:USB_B_Micro,Connector_USB:USB_Micro-B_GCT_USB3076-30-A,GCT,USB3076-30-A,2073-USB3076-30-ACT-ND,https://www.digikey.com/en/products/detail/gct/USB3076-30-A/9859635
12,1,J30,BNO-055,CustomSymbols:BNO-055,CustomFootprints:BNO055,Adafruit,4646,1528-4646-ND,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4646/12609996?s=N4IgTCBcDaIEIDkDyAGArGgBAQwCbYDMAnAVwEsAXEAXQF8g
13,2,"J40, J41",6V_DC_Motor,CustomSymbols:6V_DC_Motor,CustomFootprints:6V_DC_Motor,Adafruit,OSTVN06A150,ED10565-ND,https://www.digikey.com/en/products/detail/on-shore-technology-inc/OSTVN06A150/1588866
14,1,J50,HC-05,CustomSymbols:HC-05,CustomFootprints:HC-05,HiLetGo,HC-05,,https://www.amazon.com/HiLetgo-Bluetooth-Transceiver-Integrated-Communication/dp/B07VL725T8/ref=pd_lpo_2?pd_rd_w=YL4Za&content-id=amzn1.sym.116f529c-aa4d-4763-b2b6-4d614ec7dc00&pf_rd_p=116f529c-aa4d-4763-b2b6-4d614ec7dc00&pf_rd_r=X2TNT25WEK1X2VDPTC31&pd_rd_wg=UYMV6&pd_rd_r=53340229-3701-4603-a918-f95ab1127172&pd_rd_i=B07VL725T8&psc=1
15,1,"M1, M2","M1_Mount, M2_Mount",Connector_Generic:Conn_01x02,CustomFootprints:Motor_Mount,Polulu,,,https://www.pololu.com/product/989/resources
16,2,"R1, R2",22r,Device:R_Small,Resistor_SMD:R_0805_2012Metric,Yageo,AC0805FR-0722RL,YAG3713CT-ND,https://www.digikey.com/en/products/detail/yageo/AC0805FR-0722RL/5896684
17,2,"R10, R20",10k,Device:R_Small,Resistor_SMD:R_0805_2012Metric,Yageo,AC0805FR-0710KL,311-10KLGCT-ND,https://www.digikey.com/en/products/detail/yageo/AC0805FR-0710KL/2827834
18,3,"R30, R50, R51",1k,Device:R_Small,Resistor_SMD:R_0805_2012Metric,Yageo,AC0805FR-071KL,YAG3703CT-ND,https://www.digikey.com/en/products/detail/yageo/AC0805FR-071KL/5896641
19,1,R40,100r,Device:R_Small,Resistor_SMD:R_0805_2012Metric,Yageo,AC0805FR-07100RL,YAG3689CT-ND,https://www.digikey.com/en/products/detail/yageo/AC0805FR-07100RL/5896521
20,2,"R60, R61",2k2,Device:R_Small,Resistor_SMD:R_0805_2012Metric,Yageo,AC0805FR-072K2L,YAG3716CT-ND,https://www.digikey.com/en/products/detail/yageo/AC0805FR-072K2L/5896727
21,1,SW1,SW_Push_Dual,Switch:SW_Push_Dual,CustomFootprints:TL3305AF260QG,E-Switch,TL3305AF260QG,EG5353CT-ND,https://www.digikey.com/en/products/detail/e-switch/TL3305AF260QG/5816184?s=N4IgTCBcDaIC4BsDMSAMBWAhgMzANlQEcBzEAXQF8g
22,1,SW10,L103011MS02Q,CustomSymbols:L103011MS02Q,CustomFootprints:L103011MS02Q,C&K,L103011MS02Q,CKN11112-ND,https://www.digikey.com/en/products/detail/c-k/L103031MS02Q/2327999
23,32,"TP_5V_1, TP_B6, TP_B7, TP_C6, TP_C7, TP_D4, TP_D5, TP_D+_1, TP_D-_1, TP_E6, TP_ENC11, TP_ENC12, TP_ENC21, TP_ENC22, TP_F0, TP_F1, TP_F4, TP_F5, TP_F6, TP_F7, TP_GND_1, TP_M11, TP_M12, TP_M21, TP_M22, TP_RX_1, TP_SCL_1, TP_SDA_1, TP_TX_1, TP_VBAT_1, TP_VREG_1, TP_VUSB_1",TestPoint,Connector:TestPoint,TestPoint:TestPoint_Pad_D1.5mm,,,,N/A
24,1,U1,ATmega32U4-A,MCU_Microchip_ATmega:ATmega32U4-A,Package_QFP:TQFP-44_10x10mm_P0.8mm,Microchip,ATMEGA32U4-AUR,ATMEGA32U4-AURCT-ND,https://www.digikey.com/en/products/detail/microchip-technology/ATMEGA32U4-AUR/2238241
25,1,U10,SN74HCS264DR,CustomSymbols:SN74HCS264DR,CustomFootprints:SOIC127P600X175-14N,Texas Instruments,SN74HCS264DR,296-SN74HCS264DRCT-ND,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCS264DR/13562988
26,2,"U20, U21",L9110_HBridge,CustomSymbols:L9110_HBridge,CustomFootprints:Adafruit_L9110_HBridge,Adafruit,4489,1528-4489-ND,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4489/11594498?s=N4IgTCBcDaIDIE4CMSAMALEBdAvkA
27,2,"U30, U31",AZ1117I-5.0,Regulator_Linear:NCP1117-12_SOT223,Package_TO_SOT_SMD:SOT-223-3_TabPin2,Diodes Inc,AZ1117IH-5.0TRG1,AZ1117IH-5.0TRG1DICT-ND,https://www.digikey.com/en/products/detail/diodes-incorporated/AZ1117IH-5-0TRG1/5699673
28,1,Y1,16Mhz,Device:Crystal_Small,Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,ECS Inc.,ECS-160-18-30-JGN-TR,XC3123CT-ND,https://www.digikey.com/en/products/detail/ecs-inc/ECS-160-18-30-JGN-TR/10239088
